address,name,rssi,txPower,isConnectable,local_x,local_y,local_z,latitude,longitude,timestamp,rawData
0D:24:F1:43:F3:99,,-57,127,False,-0.09925964,-0.3854665,8.066762,39.7221374511719,-105.182754516602,112.591102600098,0D:24:F1:43:F3:99||-57|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122935
40:4C:EA:A7:40:51,,-88,127,False,-0.09495153,-0.3854095,8.083677,39.7221374511719,-105.182754516602,112.624397277832,40:4C:EA:A7:40:51||-88|127|false|UNKNOWN|1|0|255|0|224:DELKjua8|0000FE9F-0000-1000-8000-00805F9B34FB|0000FE9F-0000-1000-8000-00805F9B34FB:AAAAAAAAAAAAAAAAAAAAAAAAAAA=||AwOf/hcWn/4AAAAAAAAAAAAAAAAAAAAAAAAAAAn/4AAMQsqO5rwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122969
33:D6:7C:E5:FD:C5,,-68,127,False,-0.09495153,-0.3854095,8.083677,39.7221374511719,-105.182754516602,112.624397277832,33:D6:7C:E5:FD:C5||-68|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402122972
D2:9C:BC:1C:45:69,,-87,127,True,-0.08662775,-0.3853576,8.120948,39.7221374511719,-105.182754516602,112.690910339355,D2:9C:BC:1C:45:69||-87|127|true|UNKNOWN|1|0|255|0|76:Ehkgbx3E9oUqqqGUbtW4qlPHlYA1WFvWPgKy||||Hv9MABIZIG8dxPaFKqqhlG7VuKpTx5WANVhb1j4CsgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123015
CD:A4:CF:45:F7:FF,,-79,127,True,-0.08662775,-0.3853576,8.120948,39.7221374511719,-105.182754516602,112.690910339355,CD:A4:CF:45:F7:FF||-79|127|true|UNKNOWN|1|0|255|0|76:EhkgsEoiMiaRYgfZHqR/5ig8EhCge6/bNgMv||||Hv9MABIZILBKIjImkWIH2R6kf+YoPBIQoHuv2zYDLwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123033
33:D6:7C:E5:FD:C5,,-66,127,False,-0.08506203,-0.3826495,8.136357,39.7221374511719,-105.182754516602,112.724159240723,33:D6:7C:E5:FD:C5||-66|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402123072
33:D6:7C:E5:FD:C5,,-73,127,False,-0.03009262,-0.4880104,8.136245,39.7221450805664,-105.18270111084,173.408737182617,33:D6:7C:E5:FD:C5||-73|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402183738
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),127,127,False,-0.03009262,-0.4880104,8.136245,39.7221450805664,-105.18270111084,173.408737182617,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|127|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402183758
33:D6:7C:E5:FD:C5,,-81,127,False,-0.03303969,-0.4897939,8.093637,39.7221450805664,-105.18270111084,173.508544921875,33:D6:7C:E5:FD:C5||-81|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402183839
7E:99:35:2B:65:70,,-87,127,False,-0.04441469,-0.488805,8.059665,39.7221450805664,-105.18270111084,173.608367919922,7E:99:35:2B:65:70||-87|127|false|UNKNOWN|1|0|255|0|6:AQkgAjQcGoqTvcCMP6WvjdO/rbK/3C1BhQRP||||Hv8GAAEJIAI0HBqKk73AjD+lr43Tv62yv9wtQYUETwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402183928
